Date,Sales,Purchase,Gross_Margin,Margin_Pct
2024-04,2154558.0,1893229,261329.0,12.13
2024-05,2534009.0,1674329.5,859679.5,33.93
2024-06,2704342.0,1792228,912114.0,33.73
2024-07,2956834.0,1392819,1564015.0,52.89
2024-08,2510441.0,1587024,923417.0,36.78
2024-09,2687457.36,2653117,34340.35999999987,1.28
2024-10,2876392.41,1418094.96,1458297.4500000002,50.7
2024-11,2889012.58,2326384.96,562627.6200000001,19.47
2024-12,2937610.63,1310747.4,1626863.23,55.38
2025-01,2508721.18,1892231.47,616489.7100000002,24.57
2025-02,3008423.46,1567323.92,1441099.54,47.9
2025-03,3096159.67,2595755.9400000004,500403.7299999995,16.16
2026-01,1061813.24,2013770.5,-951957.26,-89.65
2026-02,2300928.98,1175692.26,1125236.72,48.9
2026-03,958806.0800000001,442926.26,515879.82000000007,53.8
