Particulars,Recency,Frequency,Monetary,Recency_N,Frequency_N,Monetary_N,RFM_Score,Segment
3PHALA AYURCENTRE PRIVATE LIMITED,42,1,56447.0,0.9405940594059405,0.0,0.0023626260409468675,0.33015297120845793,Growing
ASUS Technology Pvt. Ltd.,350,9,351620.0,0.504950495049505,0.0121765601217656,0.014989063910015699,0.1857724388617744,At Risk
ATPS Engineering Pvt Ltd,385,13,160800.0,0.4554455445544554,0.0182648401826484,0.006826471551718312,0.1667027392604088,At Risk
Attractive Labels and Packaging,377,1,33709.76,0.4667609618104668,0.0,0.001390008802330508,0.16392234015459559,At Risk
CHRISTI TRADERS,7,14,944535.0,0.9900990099009901,0.0197869101978691,0.04035183221585311,0.36762211390115507,Growing
Compack Packaging Private Ltd,13,13,368277.0,0.9816124469589816,0.0182648401826484,0.015701590379527067,0.3544112026331165,Growing
Cook India Medical Devices Pvt Ltd,4,7,350055.0,0.9943422913719944,0.0091324200913242,0.014922118846391679,0.3562717545415857,Growing
DAESEUNG AUTOPARTS INDIA PVT LTD,530,6,880702.0,0.25035360678925034,0.0076103500761035,0.03762128637156426,0.10457486444388919,At Risk
Genuine Biosystem Pvt Ltd.,357,18,846211.0,0.49504950495049505,0.0258751902587519,0.03614588561152844,0.1941944785419726,At Risk
HONEST PACK ENGINEERING,403,11,247333.0,0.42998585572842996,0.015220700152207,0.010528041641544052,0.15851144119961982,At Risk
Innovative Packaging Solutions,467,1,14194.0,0.3394625176803394,0.0,0.0005551948758953033,0.11903395913847692,At Risk
J. C Packaging,0,220,1425260.32,1.0,0.3333333333333333,0.06091553006446471,0.45769954535911916,Growing
JUPITER PETROTEC PRODUCTS,365,2,51375.0,0.4837340876944838,0.0015220700152207,0.0021456641478471692,0.17054571385601336,At Risk
KMD PRECISION PRODUCTS,21,2,752640.0,0.9702970297029703,0.0015220700152207,0.03214325522918778,0.3528417799915199,Growing
M/S ASUS TECHNOLOGY PVT LTD,4,1,76588.0,0.9943422913719944,0.0,0.0032241854827688337,0.34930947617330554,Growing
M/S Regenix Drugs ( Q),404,1,32090.0,0.4285714285714286,0.0,0.001320721303125625,0.15052828852125025,At Risk
M/S Regenix Drugs Ltd (B),404,1,39154.0,0.4285714285714286,0.0,0.0016228937820010718,0.15064915751280042,At Risk
"NEST PACCAGING				
",622,4,354141.0,0.12022630834512027,0.0045662100456621,0.01509690321058832,0.04925952171644294,At Risk
NIBU HYGIENE & CARE PVT LTD,20,3,92071.0,0.9717114568599717,0.0030441400304414,0.0038864924604625683,0.3424146418927855,Growing
OUTLOOK IMPEX,27,1,57060.0,0.9618104667609618,0.0,0.0023888479732162115,0.3375892025556231,Growing
PROFIN ENTERPRISES,14,2,3398.0,0.9801980198019802,0.0015220700152207,9.338087788577294e-05,0.34348717678565255,Growing
