Date,Customer,Vch_No,Amount,Entity_Mean,Expected_Low,Expected_High,Deviation_%,Flag_Type,FY,Txn_Type
2024-05-07,A J PACKERS,Pur/30/24-25,109280.0,18312.0,0.0,28780.0,496.8,HIGH — unusually large,2024-25,Purchase
2026-01-31,Trade Watch,Pur/346/25-26,1398300.0,259508.0,11223.0,322105.0,438.8,HIGH — unusually large,2025-26,Purchase
2024-04-26,A J PACKERS,Pur/21/24-25,75338.0,18312.0,0.0,28780.0,311.4,HIGH — unusually large,2024-25,Purchase
2026-03-12,UNIVERSAL CARTONS,Pur/380/25-26,15274.0,4606.0,0.0,11082.0,231.6,HIGH — unusually large,2025-26,Purchase
2025-01-16,SRI SAIRAM FLEXO GRAPHICS,Pur/261/24-25,6190.0,1971.0,0.0,3718.0,214.0,HIGH — unusually large,2024-25,Purchase
2025-12-23,SAMBHAV Paper Source,Pur/314/25-26,244366.0,80619.0,0.0,187141.0,203.1,HIGH — unusually large,2025-26,Purchase
2025-10-14,SAMBHAV Paper Source,Pur/232/25-26,243078.0,80619.0,0.0,187141.0,201.5,HIGH — unusually large,2025-26,Purchase
2024-12-26,UNIVERSAL CARTONS,Pur/235/24-25,13805.0,4606.0,0.0,11082.0,199.7,HIGH — unusually large,2024-25,Purchase
2025-12-13,PACKAID ECOPACK PVT LTD,Pur/300/25-26,26390.7,8985.0,0.0,24955.0,193.7,HIGH — unusually large,2025-26,Purchase
2025-12-24,Prathiksha Graphics,Pur/315/25-26,40095.0,14657.0,0.0,31307.0,173.6,HIGH — unusually large,2025-26,Purchase
2025-11-25,UNIVERSAL CARTONS,Pur/276/25-26,12444.0,4606.0,0.0,11082.0,170.2,HIGH — unusually large,2025-26,Purchase
2024-09-03,THIRUMALA DIE MAKERS,Pur/132/24-25,24090.0,9010.0,0.0,23875.0,167.4,HIGH — unusually large,2024-25,Purchase
2025-11-14,SAMBHAV Paper Source,Pur/266/25-26,199819.0,80619.0,0.0,187141.0,147.9,HIGH — unusually large,2025-26,Purchase
2026-03-03,SAMBHAV Paper Source,Pur/365/25-26,191903.0,80619.0,0.0,187141.0,138.0,HIGH — unusually large,2025-26,Purchase
2025-11-03,Perfect Trade Agency,Pur/254/25-26,11682.0,4956.0,0.0,10170.0,135.7,HIGH — unusually large,2025-26,Purchase
2025-01-04,PL.M. INDUSTRY,Pur/247/24-25,94084.0,40032.0,23856.0,54481.0,135.0,HIGH — unusually large,2024-25,Purchase
2024-11-04,Prathiksha Graphics,PUR/2/24-25,33925.0,14657.0,0.0,31307.0,131.5,HIGH — unusually large,2024-25,Purchase
2025-03-22,Sri Varun Paper & Boards,Pur/355/24-25,78353.52,34065.0,0.0,70704.0,130.0,HIGH — unusually large,2024-25,Purchase
2025-03-31,Sri Varun Paper & Boards,Pur/356/24-25,77894.32,34065.0,0.0,70704.0,128.7,HIGH — unusually large,2024-25,Purchase
2025-04-19,FLEXIBLE Pack & Fab,Pur/22/25-26,78008.0,34820.0,0.0,63640.0,124.0,HIGH — unusually large,2025-26,Purchase
2025-06-09,FLEXIBLE Pack & Fab,Pur/80/25-26,77728.0,34820.0,0.0,63640.0,123.2,HIGH — unusually large,2025-26,Purchase
2024-08-03,Perfect Trade Agency,Pur/101/24-25,10844.0,4956.0,0.0,10170.0,118.8,HIGH — unusually large,2024-25,Purchase
