Month,Forecast_Revenue,Lower_Bound,Upper_Bound,Type
2024-04,2154558.0,,,Actual
2024-05,2534009.0,,,Actual
2024-06,2704342.0,,,Actual
2024-07,2956834.0,,,Actual
2024-08,2510441.0,,,Actual
2024-09,2687457.36,,,Actual
2024-10,2876392.41,,,Actual
2024-11,2889012.58,,,Actual
2024-12,2937610.63,,,Actual
2025-01,2508721.18,,,Actual
2025-02,3008423.46,,,Actual
2025-03,3096159.67,,,Actual
2025-04,3354818.81,,,Actual
2025-05,4056105.8,,,Actual
2025-06,3421791.62,,,Actual
2025-07,3588378.61,,,Actual
2025-08,3993178.26,,,Actual
2025-09,3014720.88,,,Actual
2025-10,2665671.96,,,Actual
2025-11,2969107.79,,,Actual
2025-12,2601820.3,,,Actual
2026-01,2039476.91,,,Actual
2026-02,2300928.98,,,Actual
2026-03,3285162.02,,,Actual
2026-04,3417472.51,2714462.5,3984593.27,Forecast
2026-05,3657274.1,2836687.34,4333576.21,Forecast
2026-06,3817283.14,2809471.64,4634275.46,Forecast
2026-07,3864388.88,2729933.81,4794419.23,Forecast
2026-08,3795732.89,2608379.87,4790394.06,Forecast
2026-09,3639475.04,2474828.97,4597401.37,Forecast
